131.2100,50.0130,167.7100,139.6600,0.2538
131.2100,50.6420,167.7100,139.6600,0.2523
131.5200,51.2710,167.7100,139.6600,0.2526
131.5200,51.5860,167.7100,139.9700,0.2526
131.5200,51.5860,167.7100,140.2900,0.2534
131.5200,52.8440,167.7100,140.6000,0.2510
131.5200,53.4730,167.7100,141.8600,0.2526
130.5800,54.7310,167.3900,142.1800,0.2464
130.2700,55.9900,166.4500,143.7500,0.2511
129.3200,57.2480,166.1400,145.0100,0.2471
129.3200,58.8200,165.8200,146.8900,0.2499
129.3200,61.3370,165.8200,148.7800,0.2483
129.3200,63.5390,165.8200,151.3000,0.2491
130.5800,66.6840,166.7700,154.1300,0.2502
131.8400,70.1440,168.0200,157.2700,0.2494
134.3600,74.5480,170.8600,161.6800,0.2475
136.8700,79.2660,173.3700,167.3400,0.2499
140.3300,84.2990,177.4600,171.4300,0.2435
146.3100,88.0730,182.5000,175.2000,0.2494
151.6600,92.7920,188.4800,179.2900,0.2438
158.5800,96.5660,195.0800,183.3800,0.2466
166.1400,100.0300,202.6400,186.8400,0.2466
173.3700,102.5400,210.5000,189.9900,0.2444
180.3000,104.4300,218.0500,191.5600,0.2397
187.8500,106.0000,225.9200,193.1300,0.2378
196.0300,107.2600,235.0400,194.0800,0.2312
203.5800,107.8900,243.2300,194.7100,0.2273
210.5000,107.8900,250.1500,195.9600,0.2307
216.4800,109.4600,256.1300,196.5900,0.2281
221.2000,109.4600,261.1600,196.5900,0.2263
224.6600,109.1500,264.6200,196.5900,0.2271
226.2300,109.4600,266.5100,196.5900,0.2243
226.2300,107.8900,266.8200,195.6500,0.2242
222.7700,107.8900,263.3600,195.3300,0.2233
217.7400,107.2600,257.3800,194.7100,0.2291
211.1300,106.6300,250.4600,194.7100,0.2326
204.2100,106.6300,242.2800,194.3900,0.2394
194.7700,106.6300,233.4700,194.3900,0.2356
183.4400,106.9500,222.1400,194.3900,0.2347
173.0600,106.9500,210.8200,195.3300,0.2430
162.3600,108.5200,200.1200,195.9600,0.2405
151.3500,109.4600,188.7900,196.2800,0.2408
143.1700,109.7800,179.9800,197.5400,0.2472
